eid,oid,time,lng,lat
000e48f3-11d3-43aa-8d79-18796da7658d,a3fd4c0d-416f-40c1-9ba3-c4cf8fd47c43,2014-07-23T07:54:00Z,100.8284,2.9547
00303a10-5766-4ef0-8f0e-51de33c2a4b5,ccffd7f8-608a-4ae7-95ca-77a63cb2b20c,2014-07-23T08:16:56Z,100.1147,3.6661
003185c7-050c-4a8d-bea8-094d22c05a8e,578c043a-f703-4793-bd9a-a3d872940c7c,2014-07-23T08:34:30Z,100.356,3.3143
0052552d-3081-4b11-89dd-fe35f1b11b75,798fc1f3-aced-41e9-af3c-9d414049a9a4,2014-07-23T05:31:03Z,100.2553,3.4903
0074095c-bb1c-4e9d-80c8-52263d9261e7,3265b489-9d1f-497b-9028-a4a505e6f455,2014-07-23T06:33:39Z,100.0298,3.5538
00944dc4-d4fc-417e-a81f-464c571a78e1,4b232206-84b6-4a3e-bdfd-369523df9342,2014-07-23T07:20:47Z,100.4863,3.2795
00cf183e-f3d5-4171-85ee-e9b564f8e68d,38daa0f8-fc20-4464-8bbd-76d48eb16715,2014-07-23T08:49:01Z,100.8859,2.9465
00ed3a59-5f2c-4bd5-be98-ac7ea2a6d441,ec462c51-2c44-4f27-990e-effbbc95dd11,2014-07-23T08:14:14Z,100.5354,3.1408
010dc006-d310-425d-a1e9-7f226461e744,0788e8e1-4c6b-485d-9552-45c37da4970f,2014-07-23T06:56:52Z,100.4512,3.383
0152b783-16b7-4ca4-a834-de1cfe32450b,23dfecfd-2042-4ad4-9440-a75c7ac603cf,2014-07-23T08:28:09Z,100.9276,2.902
015581f6-5fb4-480b-a1a3-6a7e882d987e,e425c045-abe8-4b46-8f1a-e670f2133d2f,2014-07-23T05:06:35Z,100.9992,2.8343
015581f6-5fb4-480b-a1a3-6a7e882d987e,1d4a12c2-a01b-4e3c-9ef8-59a0023f753f,2014-07-23T05:06:44Z,100.9987,2.8345
015581f6-5fb4-480b-a1a3-6a7e882d987e,2f1a0f1b-62eb-42f4-875e-dc6e25311abd,2014-07-23T05:07:14Z,100.9972,2.8352
015581f6-5fb4-480b-a1a3-6a7e882d987e,d259162d-214a-4654-92ea-08631fd11ec1,2014-07-23T05:08:14Z,100.9943,2.837
015581f6-5fb4-480b-a1a3-6a7e882d987e,19b8d440-9ea3-42ed-a88b-cb85d79c41f8,2014-07-23T05:08:44Z,100.9929,2.8379
015581f6-5fb4-480b-a1a3-6a7e882d987e,f19087f0-448a-4d6a-bd3a-1466125dd678,2014-07-23T05:09:03Z,100.9921,2.8386
015581f6-5fb4-480b-a1a3-6a7e882d987e,4632529f-8c84-4931-a76f-b8799435b058,2014-07-23T05:09:55Z,100.9898,2.8405
015581f6-5fb4-480b-a1a3-6a7e882d987e,d55498a5-6d16-44b0-b2e6-a4ce5f73674d,2014-07-23T05:10:45Z,100.9877,2.8424
015581f6-5fb4-480b-a1a3-6a7e882d987e,dcf10080-35d9-4e99-bdae-f42ac4090928,2014-07-23T05:11:24Z,100.9861,2.8439
015581f6-5fb4-480b-a1a3-6a7e882d987e,60181cf5-c102-405a-a009-225088b45da3,2014-07-23T05:12:24Z,100.9836,2.8461
015581f6-5fb4-480b-a1a3-6a7e882d987e,672e2bce-abad-4db4-b212-7ef9cdb28a0a,2014-07-23T05:12:45Z,100.9828,2.8469
015581f6-5fb4-480b-a1a3-6a7e882d987e,843fc8b8-d9a1-45b8-a291-51143fe20799,2014-07-23T05:13:13Z,100.9816,2.848
015581f6-5fb4-480b-a1a3-6a7e882d987e,1e697b40-79ea-4ca7-b779-c547b87d7934,2014-07-23T05:22:14Z,100.9599,2.8683
015581f6-5fb4-480b-a1a3-6a7e882d987e,48347945-0243-4752-8c8e-afa17c483015,2014-07-23T05:22:55Z,100.9583,2.8698
015581f6-5fb4-480b-a1a3-6a7e882d987e,dbe3c372-f332-4d0c-a803-e25975ee94b9,2014-07-23T05:24:24Z,100.9548,2.8731
015581f6-5fb4-480b-a1a3-6a7e882d987e,ca6de71e-3b75-4ffd-beb2-0f87163c40d3,2014-07-23T05:27:55Z,100.9467,2.8806
015581f6-5fb4-480b-a1a3-6a7e882d987e,fbd34134-258c-42fb-bf3c-25795b061c34,2014-07-23T05:28:15Z,100.946,2.8813
015581f6-5fb4-480b-a1a3-6a7e882d987e,15fb9a1f-bd84-437d-a9e2-0320b00ad3cd,2014-07-23T05:32:15Z,100.9369,2.8899
015581f6-5fb4-480b-a1a3-6a7e882d987e,c9d80714-5b08-4482-b862-7f7d2e9fd2e3,2014-07-23T05:32:55Z,100.9354,2.8914
015581f6-5fb4-480b-a1a3-6a7e882d987e,2693ac52-0472-420a-aad2-4434063ded48,2014-07-23T05:37:43Z,100.9247,2.9016
015581f6-5fb4-480b-a1a3-6a7e882d987e,b2bfbf83-9c39-48db-a56a-b24821e303ee,2014-07-23T05:41:43Z,100.916,2.9099
015581f6-5fb4-480b-a1a3-6a7e882d987e,38a8555a-fd15-4d95-a0b1-0151bd51c24c,2014-07-23T05:44:24Z,100.9102,2.9154
015581f6-5fb4-480b-a1a3-6a7e882d987e,0b9ff717-24ac-44b7-9ad4-45bfc1af4010,2014-07-23T05:44:34Z,100.9098,2.9157
015581f6-5fb4-480b-a1a3-6a7e882d987e,269ff70a-1021-4bec-98b1-9410008a9ba5,2014-07-23T05:45:24Z,100.908,2.9174
015581f6-5fb4-480b-a1a3-6a7e882d987e,ab28828e-4981-4d0c-a3fc-0e6b6c96aa22,2014-07-23T05:46:13Z,100.9063,2.9191
015581f6-5fb4-480b-a1a3-6a7e882d987e,c165e292-273e-492b-9a5b-4b2cd64e1e04,2014-07-23T05:49:54Z,100.8985,2.9265
015581f6-5fb4-480b-a1a3-6a7e882d987e,2524bde4-8c15-461f-b61a-45c1321e457f,2014-07-23T05:51:35Z,100.895,2.9299
015581f6-5fb4-480b-a1a3-6a7e882d987e,c0a16516-d896-4361-a0f3-c3235a640b13,2014-07-23T05:52:24Z,100.8933,2.9316
015581f6-5fb4-480b-a1a3-6a7e882d987e,3d5b153f-99b6-4839-92d4-f71b23773835,2014-07-23T05:55:04Z,100.8877,2.9368
015581f6-5fb4-480b-a1a3-6a7e882d987e,73ab177f-d821-4df0-a171-0a674dabe7fd,2014-07-23T05:55:24Z,100.887,2.9375
015581f6-5fb4-480b-a1a3-6a7e882d987e,ff744607-36ff-4364-bb79-c3a1bf10d855,2014-07-23T05:55:53Z,100.886,2.9384
015581f6-5fb4-480b-a1a3-6a7e882d987e,5fc23c09-f61f-491e-b199-b5791255cea8,2014-07-23T05:57:05Z,100.8836,2.9409
015581f6-5fb4-480b-a1a3-6a7e882d987e,b16fc48d-a832-4291-a18a-355c3879c058,2014-07-23T05:58:25Z,100.8808,2.9436
015581f6-5fb4-480b-a1a3-6a7e882d987e,401d7387-7685-4322-97ea-76b10fa4ff49,2014-07-23T05:59:44Z,100.8781,2.9462
015581f6-5fb4-480b-a1a3-6a7e882d987e,cf7919e5-e39b-49de-ba8c-dd5f2070950b,2014-07-23T06:01:04Z,100.8753,2.9489
015581f6-5fb4-480b-a1a3-6a7e882d987e,3fad5aa8-2c49-40b9-b445-11208862b36c,2014-07-23T06:01:14Z,100.875,2.9492
015581f6-5fb4-480b-a1a3-6a7e882d987e,0aa4ff1f-542d-47d3-b07b-0c7793dbb1be,2014-07-23T06:03:43Z,100.87,2.9542
015581f6-5fb4-480b-a1a3-6a7e882d987e,0f5ba0d4-13e3-4951-8ae6-4be29a71ab80,2014-07-23T06:05:34Z,100.8662,2.9579
015581f6-5fb4-480b-a1a3-6a7e882d987e,bef10e69-d6cc-430f-8411-e6bd8acb3c9d,2014-07-23T06:06:54Z,100.8636,2.9606
015581f6-5fb4-480b-a1a3-6a7e882d987e,821939f7-c195-404b-81f4-22503843ca15,2014-07-23T06:10:24Z,100.8571,2.968
015581f6-5fb4-480b-a1a3-6a7e882d987e,453ac720-e9aa-4e6b-81ed-d105ad91cea3,2014-07-23T06:11:34Z,100.8549,2.9704
015581f6-5fb4-480b-a1a3-6a7e882d987e,f85394a4-a2b0-421f-b5a0-5ea11653967a,2014-07-23T06:11:53Z,100.8543,2.9711
015581f6-5fb4-480b-a1a3-6a7e882d987e,9654bfb5-7348-4de9-b85d-b8b203b7f63f,2014-07-23T06:17:36Z,100.8438,2.983
